2025-07-22 04:07:56 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 04:08:00 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-22 04:08:00 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-22 04:08:00 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-22 04:08:00 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-22 04:08:00 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-22 04:08:00 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-22 04:08:01 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-22 04:22:37 | __main__ | INFO | Starting data preparation flow...
2025-07-22 04:22:37 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 04:22:41 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-22 04:22:41 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-22 04:22:41 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-22 04:22:41 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-22 04:22:41 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-22 04:22:41 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-22 04:27:28 | __main__ | INFO | Starting data preparation flow...
2025-07-22 04:27:28 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 04:27:32 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-22 04:27:32 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-22 04:27:32 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
2025-07-22 04:27:32 | __main__ | INFO | Exported NVDA data to data/raw/NVDA.csv
2025-07-22 04:27:32 | __main__ | INFO | Exported AMZN data to data/raw/AMZN.csv
2025-07-22 04:27:32 | __main__ | INFO | Exported META data to data/raw/META.csv
2025-07-22 04:27:33 | __main__ | INFO | Data preparation flow completed successfully.
2025-07-22 04:32:04 | __main__ | INFO | Starting data preparation flow...
2025-07-22 04:32:05 | __main__ | INFO | Loading stock data from 2025-01-01 to 2025-07-22 for 6 stocks.
2025-07-22 04:32:08 | __main__ | INFO | Exported AAPL data to data/raw/AAPL.csv
2025-07-22 04:32:08 | __main__ | INFO | Exported GOOGL data to data/raw/GOOGL.csv
2025-07-22 04:32:08 | __main__ | INFO | Exported MSFT data to data/raw/MSFT.csv
